Date,Close,High,Low,Open,Volume,Returns,Volatility,Initial_Margin,Variation_Margin,Historical_VaR,Parametric_VaR
2022-01-14,4.26200008392334,4.304999828338623,4.0970001220703125,4.263000011444092,108856,-0.0018735121870979,0.0669907788796877,2.708630321779995,-79.99897003173828,-0.26396268115586863,-0.46967169006603954
2022-01-18,4.2829999923706055,4.389999866485596,4.216000080108643,4.355999946594238,119454,0.0049272426170237,0.0670112069627376,2.722806436562576,209.99908447265625,-0.2638010894681769,-0.4721298032071971
2022-01-19,4.031000137329102,4.385000228881836,4.010000228881836,4.327000141143799,116542,-0.0588372298600038,0.0699299908111881,2.6742225021598443,-2519.998550415039,-0.2482797641298183,-0.4637054352166648
2022-01-20,3.802000045776367,4.037000179290772,3.7809998989105225,4.014999866485596,104199,-0.0568097454108417,0.0717535995063436,2.588076234202769,-2290.0009155273438,-0.23417505393893948,-0.44876782525972814
2022-01-21,3.999000072479248,4.044000148773193,3.8329999446868896,3.838000059127808,70256,0.0518148406972607,0.0731652103967412,2.7757304682468806,1970.0002670288086,-0.2463087970540581,-0.4813067363628228
2022-01-24,4.026999950408936,4.067999839782715,3.875999927520752,3.9149999618530273,47100,0.0070017197854985,0.0728271250178924,2.782249318548413,279.99877929688387,-0.24803338223173385,-0.48243709343436153
2022-01-25,4.052999973297119,4.078999996185303,3.888999938964844,3.9590001106262207,23443,0.0064564249337879,0.0717120861191102,2.757339307551745,260.00022888182707,-0.24963479114518655,-0.47811774174199756
2022-01-26,4.276999950408936,4.389999866485596,4.011000156402588,4.039999961853027,44321,0.0552676976530037,0.0726770571417642,2.948884979707714,2239.999771118173,-0.26343153130586944,-0.5113314213065124
2022-01-27,6.264999866485596,7.34600019454956,4.230000019073486,4.230000019073486,193252,0.46481176972812,0.1601456546267641,9.518258160810928,19879.999160766594,-0.3858776075743393,-1.6504490704863524
2022-01-28,4.638999938964844,4.875999927520752,4.285999774932861,4.3420000076293945,263418,-0.2595371048958809,0.1799413743276603,7.919115089458835,-16259.99927520752,-0.2873117873437134,-1.373160500340773
2022-01-31,4.874000072479248,5.057000160217285,4.695000171661377,4.867000102996826,156746,0.0506574987295307,0.179955750934148,8.320942409428326,2350.001335144043,-0.3018662838460567,-1.442836644393076
2022-02-01,4.750999927520752,4.973999977111816,4.619999885559082,4.921000003814697,140785,-0.0252359752009461,0.1806105199392764,8.140467024283675,-1230.001449584961,-0.29424839379291584,-1.4115425329469244
2022-02-02,5.500999927520752,5.572000026702881,4.85699987411499,4.89300012588501,305898,0.1578615052497753,0.1826148447648605,9.530133237214425,7500.0,-0.3406988881543942,-1.6525081876568448
2022-02-03,4.888000011444092,5.453999996185303,4.815999984741211,5.420000076293945,205841,-0.1114342708877171,0.186775774602435,8.66109892777951,-6129.999160766602,-0.3163592916872271,-1.5018191809084285
2022-02-04,4.572000026702881,5.086999893188477,4.486999988555908,4.928999900817871,152119,-0.0646481145665655,0.1895513932664566,8.22156434261054,-3159.9998474121094,-0.3017663936134086,-1.4256046639997038
2022-02-07,4.23199987411499,4.4679999351501465,4.119999885559082,4.383999824523926,192859,-0.0743657372270584,0.1922853415560952,7.719924959558012,-3400.0015258789062,-0.28644993763526966,-1.3386212853719643
2022-02-08,4.248000144958496,4.38100004196167,4.172999858856201,4.276000022888184,154444,0.003780782447885,0.1923081158762667,7.750030122992851,160.0027084350586,-0.2875329425316789,-1.3438414672758805
2022-02-09,4.008999824523926,4.258999824523926,3.983000040054321,4.210999965667725,154599,-0.0562618437568122,0.1932489715621878,7.349782432207313,-2390.003204345703,-0.2713558090440251,-1.2744392281202848
2022-02-10,3.9590001106262207,4.067999839782715,3.881999969482422,4.034999847412109,141740,-0.0124718673200846,0.1083235388224542,4.068455856200987,-499.9971389770508,-0.2679714953970938,-0.7054630240886003
2022-02-11,3.940999984741211,4.056000232696533,3.875999927520752,3.944000005722046,177373,-0.0045466343475707,0.0758204865846416,2.8347466786698927,-180.00125885009766,-0.2667531269919515,-0.4915400424983215
2022-02-14,4.195000171661377,4.229000091552734,4.039999961853027,4.103000164031982,121204,0.0644506947230665,0.0772329871953933,3.073661733979531,2540.00186920166,-0.28394555134613314,-0.5329674890225702
2022-02-15,4.306000232696533,4.427999973297119,4.1570000648498535,4.183000087738037,141954,0.0264600849804486,0.0779963220474914,3.186173546203614,1110.0006103515625,-0.29145877476457216,-0.5524768375574235
2022-02-16,4.7170000076293945,4.739999771118164,4.369999885559082,4.39300012588501,155480,0.0954481543712044,0.0646897982006428,2.8948290890091712,4109.997749328613,-0.3192779768911432,-0.5019582258068307
2022-02-17,4.486000061035156,4.793000221252441,4.401999950408936,4.642000198364258,117789,-0.0489717927115991,0.0566884962387997,2.412545243484779,-2309.999465942383,-0.3036423619894514,-0.4183310630310208
2022-02-18,4.431000232696533,4.65399980545044,4.370999813079834,4.517000198364258,73219,-0.0122603271489772,0.0530869192386892,2.2315701855913144,-549.9982833862305,-0.29991960729517253,-0.3869503092171281
2022-02-22,4.498000144958496,4.861000061035156,4.447999954223633,4.593999862670898,42641,0.015120719644194,0.0466630329357425,1.991194494584612,669.9991226196289,-0.30445460759287957,-0.3452695910555893
